0,1,2
2019-01-11 11:00:00,16.132,buy
2019-01-15 13:40:00,16.482,sell
2019-01-16 10:35:00,16.857,sell
2019-01-18 13:30:00,17.482,sell
2019-01-22 10:35:00,16.932,buy
2019-01-30 14:25:00,16.495,buy
2019-02-01 10:50:00,17.32,sell
2019-02-01 14:00:00,17.476,sell
2019-02-12 09:50:00,18.088,sell
2019-02-20 10:20:00,18.163,buy
2019-02-25 13:25:00,18.782,sell
2019-03-01 10:25:00,20.918,buy
2019-03-04 11:25:00,21.599,sell
2019-03-05 13:20:00,21.162,buy
2019-03-12 10:40:00,22.849,sell
2019-03-19 09:35:00,23.243,sell
2019-03-22 11:30:00,22.418,buy
2019-03-25 14:45:00,21.843,buy
2019-03-26 13:45:00,21.393,buy
2019-04-02 10:30:00,22.224,buy
2019-04-03 13:45:00,22.137,buy
2019-04-24 10:50:00,20.656,buy
2019-04-29 14:45:00,20.806,buy
2019-05-06 13:30:00,20.469,buy
2019-05-08 10:40:00,21.799,sell
2019-05-15 13:25:00,21.131,sell
2019-05-20 09:45:00,20.631,buy
2019-05-22 14:05:00,20.606,buy
2019-05-23 13:15:00,20.231,buy
2019-05-30 10:05:00,19.531,buy
2019-06-06 09:50:00,18.244,buy
2019-06-20 13:10:00,19.594,sell
2019-06-26 13:15:00,20.668,sell
2019-07-01 14:45:00,21.574,sell
2019-07-04 10:25:00,21.239,buy
2019-07-08 13:40:00,21.18,buy
2019-07-10 14:30:00,21.761,sell
2019-07-19 11:10:00,21.769,buy
2019-08-06 09:50:00,20.019,buy
2019-08-07 13:20:00,21.13,sell
2019-08-08 14:25:00,20.953,buy
2019-08-28 10:25:00,24.285,buy
2019-08-29 10:20:00,24.176,buy
2019-08-30 10:25:00,24.319,buy
2019-09-03 13:15:00,23.806,buy
2019-09-06 09:40:00,23.469,buy
2019-09-11 10:30:00,24.126,buy
2019-09-11 14:10:00,23.882,buy
2019-09-16 10:00:00,23.326,buy
2019-09-17 14:15:00,22.905,buy
2019-09-26 14:30:00,22.056,buy
2019-10-10 10:50:00,23.242,sell
2019-10-17 10:25:00,23.856,buy
2019-10-25 14:20:00,24.529,sell
2019-11-08 13:45:00,26.524,buy
2019-11-11 14:30:00,26.095,buy
2019-11-18 13:40:00,27.601,buy
2019-11-25 10:10:00,26.069,buy
2019-12-02 10:40:00,25.48,buy
2019-12-03 10:25:00,24.529,buy
2019-12-06 14:05:00,25.489,buy
2019-12-10 10:50:00,25.447,sell
2019-12-11 10:25:00,25.228,buy
2019-12-18 09:40:00,25.598,sell
2019-12-24 14:35:00,27.71,sell
2019-12-25 10:25:00,27.248,buy
2019-12-31 09:45:00,27.744,sell
2020-01-07 10:30:00,28.139,buy
2020-01-14 13:25:00,31.783,buy
2020-01-20 10:25:00,31.707,buy
2020-02-03 15:00:00,29.873,buy
2020-02-04 13:25:00,32.482,sell
2020-02-10 10:25:00,33.045,buy
2020-02-11 09:35:00,33.365,sell
2020-02-12 14:45:00,32.498,buy
2020-02-19 14:45:00,32.027,buy
2020-02-26 10:20:00,31.295,buy
2020-02-27 13:20:00,31.548,sell
2020-03-09 13:35:00,32.044,buy
2020-03-11 14:10:00,31.413,buy
2020-03-17 10:30:00,28.131,buy
2020-03-18 10:10:00,29.562,sell
2020-03-18 13:10:00,29.747,sell
2020-03-20 14:50:00,29.553,sell
2020-03-27 14:25:00,32.869,buy
2020-03-31 10:00:00,32.785,buy
2020-04-13 10:15:00,33.912,buy
2020-04-17 14:40:00,34.636,buy
2020-04-23 14:55:00,36.218,buy
2020-04-27 09:55:00,34.03,buy
2020-05-06 09:45:00,33.845,buy
2020-05-08 09:40:00,34.627,buy
2020-05-15 09:40:00,34.543,buy
2020-05-20 13:50:00,33.618,buy
2020-05-22 13:35:00,32.869,buy
2020-05-28 10:50:00,32.313,buy
2020-06-01 14:50:00,34.468,sell
2020-06-03 14:45:00,33.887,buy
2020-06-11 14:25:00,38.052,buy
2020-06-23 14:05:00,40.936,sell
2020-06-30 10:40:00,43.162,sell
2020-07-10 10:15:00,43.127,sell
2020-07-10 15:00:00,42.045,buy
2020-07-15 09:40:00,44.4,sell
2020-07-15 14:30:00,46.072,sell
2020-07-16 13:50:00,43.318,buy
