time,open,high,low,close,volume
2021-05-11,228.06,229.26,224.25,229.16,3380290.0
2021-05-12,226.64,227.26,219.89,220.04,4197103.0
2021-05-13,218.83,224.87,218.74,223.68,2905724.0
2021-05-14,225.74,228.23,224.85,227.36,2081307.0
2021-05-17,227.86,227.86,224.74,226.47,2058051.0
2021-05-18,225.37,225.99,222.23,222.32,2400421.0
2021-05-19,220.67,221.47,216.78,221.32,3050216.0
2021-05-20,220.49,222.89,220.47,222.13,2207835.0
2021-05-21,223.0,225.63,222.66,223.2,2274600.0
2021-05-24,224.5,225.52,223.17,225.0,1813542.0
2021-05-25,225.0,225.71,223.39,224.04,1804635.0
2021-05-26,224.96,224.99,223.31,224.27,1748116.0
2021-05-27,226.69,231.74,226.59,231.27,6647173.0
2021-05-28,232.0,232.24,230.31,230.91,2529345.0
2021-06-01,232.89,233.69,231.51,232.95,2234146.0
2021-06-02,234.02,234.02,230.5,230.74,2225389.0
2021-06-03,230.71,231.64,228.47,229.2,2321294.0
2021-06-04,229.76,230.75,229.19,230.05,1299971.0
2021-06-07,229.51,230.36,227.53,228.19,2032479.0
2021-06-08,228.31,230.82,227.44,229.81,1720583.0
2021-06-09,229.82,230.4,227.6,227.81,1973581.0
2021-06-10,229.12,230.06,226.15,226.25,2223555.0
2021-06-11,227.75,228.33,223.96,225.18,1998905.0
2021-06-14,224.92,224.95,222.73,223.17,2586062.0
2021-06-15,223.02,223.86,221.67,222.5,2063234.0
2021-06-16,222.5,222.9,218.6,218.99,3052341.0
2021-06-17,219.2,220.2,214.73,216.29,2425675.0
2021-06-18,213.6,215.29,211.96,212.5,5426523.0
2021-06-21,214.74,217.43,214.34,216.0,2872355.0
2021-06-22,215.68,216.8,214.88,215.49,2111039.0
2021-06-23,215.67,216.37,214.56,214.66,2234542.0
2021-06-24,215.79,218.04,214.65,217.69,3364493.0
2021-06-25,217.87,220.17,217.33,218.74,5219111.0
2021-06-28,219.12,220.11,216.3,216.79,2360334.0
2021-06-29,217.03,218.36,215.42,215.95,3001976.0
2021-06-30,215.53,219.86,215.53,219.35,2866404.0
2021-07-01,220.58,221.26,219.66,220.62,1630291.0
2021-07-02,220.99,222.05,219.71,221.32,1543562.0
2021-07-06,220.09,220.95,215.93,218.56,1935849.0
2021-07-07,218.03,221.59,218.01,220.74,1563360.0
2021-07-08,218.56,220.71,217.13,219.32,2404704.0
2021-07-09,221.03,224.6,220.74,224.34,2161837.0
2021-07-12,222.88,225.7,222.13,225.02,2066264.0
2021-07-13,225.85,225.85,223.71,224.08,1417408.0
2021-07-14,224.17,228.76,224.17,227.77,2631846.0
2021-07-15,230.0,233.43,229.04,232.81,5546799.0
2021-07-16,232.19,233.86,229.62,230.33,3592832.0
2021-07-19,225.67,226.61,220.01,220.66,6107148.0
2021-07-20,221.64,231.27,221.5,229.66,28237085.0
2021-07-21,229.2,232.07,228.73,231.85,4554650.0
2021-07-22,232.71,234.25,230.13,232.74,3680233.0
2021-07-23,229.0,231.12,226.18,229.32,3908545.0
2021-07-26,228.48,229.76,225.22,229.25,2776861.0
2021-07-27,228.68,232.27,228.09,230.36,2167071.0
2021-07-28,230.07,232.28,229.37,230.49,1713878.0
2021-07-29,232.89,233.25,231.34,232.88,1501860.0
2021-07-30,232.79,233.94,232.08,233.79,2237334.0
2021-08-02,235.14,236.86,232.22,232.42,2025488.0
2021-08-03,233.17,233.85,230.58,232.65,1782979.0
2021-08-04,231.8,232.98,228.91,229.59,2324080.0
2021-08-05,229.53,231.55,228.95,229.88,1467161.0
2021-08-06,230.0,230.89,229.01,229.68,1327491.0
2021-08-09,228.77,229.32,227.55,228.23,1369877.0
2021-08-10,228.41,232.07,228.12,231.88,2389094.0
2021-08-11,232.6,234.68,231.87,234.18,2098537.0
2021-08-12,233.52,233.75,230.7,231.94,1917371.0
2021-08-13,231.85,232.66,231.15,231.76,1404791.0
2021-08-16,231.86,233.8,230.17,233.74,1794620.0
2021-08-17,233.19,233.7,228.34,231.45,2679136.0
2021-08-18,229.96,231.49,228.24,228.42,2555304.0
2021-08-19,227.58,229.24,226.04,227.73,1945127.0
2021-08-20,228.13,228.73,226.51,227.7,2081067.0
2021-08-23,227.25,231.61,227.25,229.11,2143468.0
2021-08-24,228.85,230.92,228.31,230.44,1265726.0
2021-08-25,230.86,232.34,228.8,230.66,1804246.0
2021-08-26,230.08,231.18,229.43,230.88,1303319.0
2021-08-27,231.58,233.56,230.66,231.14,1663624.0
2021-08-30,231.22,232.78,230.56,231.87,1318283.0
2021-08-31,231.43,232.65,230.57,231.91,1956313.0
2021-09-01,232.95,233.19,229.3,229.8,2484573.0
2021-09-02,230.92,231.44,229.77,230.97,1594550.0
2021-09-03,231.0,231.0,227.77,228.36,1622429.0
2021-09-07,227.7,227.7,222.77,222.93,3222871.0
2021-09-08,222.75,224.9,221.82,224.4,2428562.0
2021-09-09,223.91,224.98,222.33,222.93,1937886.0
2021-09-10,222.97,225.19,222.21,222.37,2357909.0
2021-09-13,224.32,225.71,222.21,223.6,2771647.0
2021-09-14,224.05,224.12,219.71,220.19,2699929.0
2021-09-15,220.63,222.91,220.14,221.69,2021753.0
2021-09-16,221.27,221.41,218.52,219.65,2393535.0
2021-09-17,219.86,219.86,217.5,218.49,4391758.0
2021-09-20,216.09,217.84,214.19,215.73,4008647.0
2021-09-21,216.79,216.94,214.35,214.9,2568859.0
2021-09-22,216.44,218.43,216.32,217.02,2281095.0
2021-09-23,217.3,221.37,217.3,219.7,2180071.0
2021-09-24,219.74,220.81,218.47,219.19,1949073.0
2021-09-27,218.94,219.83,217.73,217.9,2199324.0
2021-09-28,216.62,218.35,214.47,214.97,2654294.0
2021-09-29,215.83,216.41,214.55,214.92,2109054.0
2021-09-30,216.17,216.25,212.1,212.28,2934371.0
2021-10-01,212.98,216.42,211.64,215.65,2276496.0
2021-10-04,215.25,216.62,213.19,214.21,2632280.0
2021-10-05,213.61,217.05,213.61,215.72,1560184.0
2021-10-06,213.77,216.99,213.12,216.86,1736021.0
2021-10-07,218.0,219.86,217.71,218.37,1852850.0
2021-10-08,218.68,219.55,216.74,217.7,1344880.0
2021-10-11,217.38,218.22,215.26,215.29,1355214.0
2021-10-12,215.7,216.24,213.93,214.33,1383809.0
2021-10-13,215.29,216.68,212.94,215.58,1600202.0
2021-10-14,217.16,218.78,216.53,218.59,1425556.0
2021-10-15,220.3,221.45,219.26,220.72,2180601.0
