time,open,high,low,close,volume
2022-06-09,194.28,199.45,183.68,184.0,23501579.0
2022-06-10,183.04,183.1,175.02,175.57,27478354.0
2022-06-13,170.59,172.58,164.03,164.26,31749304.0
2022-06-14,166.03,166.75,161.36,163.73,27244274.0
2022-06-15,167.2,172.16,163.98,169.35,30008251.0
2022-06-16,163.72,165.08,159.61,160.87,26944143.0
2022-06-17,161.68,165.9,159.9,163.74,31374215.0
2022-06-21,165.93,167.76,155.97,157.05,50724899.0
2022-06-22,158.38,160.79,155.44,155.85,47596820.0
2022-06-23,156.27,159.75,154.25,158.75,40499198.0
2022-06-24,161.72,170.25,161.3,170.16,68736009.0
2022-06-27,171.32,171.75,168.01,169.49,29174559.0
2022-06-28,169.9,171.3,160.61,160.68,27788725.0
2022-06-29,163.57,166.33,160.32,163.94,28595236.0
2022-06-30,162.15,165.23,158.49,161.25,35250605.0
2022-07-01,160.31,160.62,155.0,160.03,31423933.0
2022-07-05,158.14,168.25,157.02,168.19,28664799.0
2022-07-06,168.2,171.59,165.46,169.77,23085921.0
2022-07-07,169.45,172.72,167.78,172.19,24083368.0
2022-07-08,169.98,172.4,168.15,170.88,19249243.0
2022-07-11,167.07,167.49,161.91,162.88,21905133.0
2022-07-12,164.8,165.91,162.1,163.27,16639659.0
2022-07-13,160.16,164.98,159.61,163.49,16555138.0
2022-07-14,161.22,162.59,157.28,158.05,23765168.0
2022-07-15,160.54,164.98,159.82,164.7,23342807.0
2022-07-18,166.75,171.69,165.64,167.23,23574337.0
2022-07-19,170.37,176.49,169.51,175.78,25933679.0
2022-07-20,177.49,183.6,176.7,183.09,24784274.0
2022-07-21,180.63,183.85,178.87,183.17,27195815.0
2022-07-22,173.07,175.6,168.41,169.27,42583916.0
2022-07-25,169.0,170.57,164.81,166.65,26166326.0
2022-07-26,165.94,166.0,157.95,159.15,28468424.0
2022-07-27,162.59,170.87,162.02,169.58,43846557.0
2022-07-28,161.06,161.51,154.85,160.72,73214326.0
2022-07-29,157.69,160.14,155.17,159.1,42065395.0
2022-08-01,157.25,165.19,155.23,159.93,40596702.0
2022-08-02,158.31,162.24,158.01,160.19,27374516.0
2022-08-03,162.69,169.54,161.57,168.8,31717527.0
2022-08-04,168.3,172.15,166.8,170.57,23938212.0
2022-08-05,166.99,171.61,165.8,167.11,25832701.0
2022-08-08,168.0,177.51,167.13,170.25,27299113.0
2022-08-09,168.95,169.53,166.6,168.53,18655056.0
2022-08-10,175.99,180.48,173.95,178.34,30262132.0
2022-08-11,179.71,183.1,176.37,177.49,24079062.0
2022-08-12,180.81,181.46,178.91,180.5,21274046.0
