time,open,high,low,close,volume
2016-04-28,109.27,109.27,106.91,107.61,971815.0
2016-04-29,106.66,107.36,105.9,106.85,1791105.0
2016-05-02,107.59,107.77,105.35,107.17,2120658.0
2016-05-03,102.29,105.13,102.01,104.5,1398093.0
2016-05-04,103.96,105.03,103.3,104.29,956322.0
2016-05-05,104.4,105.47,104.39,104.67,871954.0
2016-05-06,100.68,104.49,97.65,104.27,1095127.0
2016-05-09,104.0,104.8,103.58,104.52,661042.0
2016-05-10,104.77,105.72,104.67,104.96,868031.0
2016-05-11,104.96,106.06,104.74,105.14,992073.0
2016-05-12,105.64,106.31,104.93,105.96,915699.0
2016-05-13,105.74,106.59,104.67,104.92,773490.0
2016-05-16,104.73,106.69,104.44,106.49,756550.0
2016-05-17,106.44,106.82,105.48,105.7,1050957.0
2016-05-18,105.77,107.43,105.53,107.05,1091019.0
2016-05-19,106.19,107.07,105.25,106.85,871246.0
2016-05-20,107.54,108.63,107.27,108.07,1113360.0
2016-05-23,107.58,109.11,107.38,108.84,944214.0
2016-05-24,108.91,112.0,108.22,111.66,1347260.0
2016-05-25,111.5,111.68,110.1,111.25,862344.0
2016-05-26,110.99,111.2,110.18,110.39,793621.0
2016-05-27,111.09,111.66,110.48,111.47,537461.0
2016-05-31,112.05,112.75,111.0,111.81,1285100.0
2016-06-01,111.02,111.02,109.88,110.8,967144.0
2016-06-02,110.23,111.04,109.73,110.45,917424.0
2016-06-03,110.02,110.33,108.51,109.64,1104706.0
2016-06-06,110.13,110.86,109.89,110.26,908190.0
2016-06-07,110.33,110.62,109.52,109.62,757596.0
2016-06-08,109.87,110.55,109.25,110.04,681360.0
2016-06-09,109.64,110.19,109.09,110.04,742593.0
2016-06-10,108.99,109.21,107.09,107.51,751036.0
2016-06-13,107.45,108.33,107.11,107.23,1021343.0
2016-06-14,107.14,107.67,106.42,106.86,913121.0
2016-06-15,106.96,108.13,106.74,107.08,855740.0
2016-06-16,106.31,107.68,105.44,107.49,659745.0
2016-06-17,107.55,108.3,106.37,106.74,1097462.0
2016-06-20,108.17,109.22,107.25,107.31,1388979.0
2016-06-21,107.65,108.27,107.31,107.83,783611.0
2016-06-22,108.0,108.0,107.05,107.13,1116825.0
2016-06-23,108.57,110.65,108.13,110.62,1326252.0
2016-06-24,106.26,107.45,103.57,104.14,5008840.0
2016-06-27,102.94,102.94,101.18,101.3,56162.0
2016-06-28,100.5,101.64,99.87,101.59,1232232.0
2016-06-29,102.8,106.03,101.66,106.0,1439628.0
2016-06-30,106.03,107.32,104.92,107.26,1709563.0
2016-07-01,107.11,109.1,107.11,107.86,891699.0
2016-07-05,107.11,107.85,105.34,106.17,958897.0
2016-07-06,105.15,106.89,104.75,106.78,1155886.0
2016-07-07,106.68,107.96,105.62,107.31,824412.0
2016-07-08,108.95,109.3,108.23,108.87,1221004.0
2016-07-11,109.64,110.91,109.41,110.26,1135731.0
2016-07-12,111.48,113.29,110.95,112.98,1247921.0
2016-07-13,113.69,113.91,112.22,113.86,781733.0
2016-07-14,115.0,115.39,114.05,115.2,827093.0
2016-07-15,115.8,116.26,114.88,115.64,1466467.0
2016-07-18,116.0,116.96,116.0,116.86,743658.0
2016-07-19,116.13,116.66,115.58,116.58,818598.0
2016-07-20,117.4,117.68,116.76,117.11,875966.0
2016-07-21,116.85,117.57,116.31,116.83,894897.0
2016-07-22,116.92,117.34,113.06,117.31,704021.0
2016-07-25,117.26,117.53,116.36,117.16,599670.0
2016-07-26,116.6,117.62,116.2,117.55,786675.0
2016-07-27,118.13,118.13,116.53,117.42,843867.0
2016-07-28,118.0,122.23,117.51,121.4,1622666.0
2016-07-29,121.37,122.71,121.35,122.2,1305696.0
2016-08-01,122.21,122.75,120.81,121.22,727370.0
2016-08-02,120.97,121.05,119.15,120.11,1030968.0
2016-08-03,120.02,120.51,119.5,120.51,755288.0
2016-08-04,120.05,120.8,119.46,119.62,434573.0
2016-08-05,120.8,121.47,120.41,120.9,908087.0
2016-08-08,120.79,121.0,119.92,120.16,677078.0
2016-08-09,120.44,120.95,120.15,120.58,581985.0
2016-08-10,120.62,120.98,119.34,119.83,599240.0
2016-08-11,120.12,120.69,119.81,120.41,741843.0
2016-08-12,120.2,120.83,119.68,119.91,540405.0
2016-08-15,120.36,120.59,119.22,120.26,863369.0
2016-08-16,120.12,120.25,119.59,119.64,674536.0
2016-08-17,120.2,120.45,119.09,120.1,828079.0
2016-08-18,120.3,120.32,119.03,120.03,680439.0
2016-08-19,119.59,120.75,119.0,120.3,782558.0
2016-08-22,120.29,120.63,119.83,120.3,379627.0
2016-08-23,121.0,121.97,120.65,121.27,817856.0
2016-08-24,120.9,121.77,120.64,120.94,697568.0
2016-08-25,120.6,121.36,120.6,121.09,488257.0
2016-08-26,121.59,122.55,120.99,121.57,1266075.0
2016-08-29,121.78,122.85,121.6,122.6,1080689.0
2016-08-30,122.7,122.97,122.11,122.97,785095.0
2016-08-31,122.86,124.55,122.39,123.54,1324211.0
2016-09-01,123.52,124.41,122.64,123.94,811510.0
2016-09-02,124.56,125.55,124.41,125.43,706806.0
2016-09-06,125.62,126.0,124.72,125.79,1021656.0
2016-09-07,125.63,125.9,124.93,125.69,792448.0
2016-09-08,125.52,126.52,125.46,125.73,774930.0
2016-09-09,124.95,125.54,122.22,122.22,1001305.0
2016-09-12,121.29,124.45,120.95,124.24,974297.0
2016-09-13,123.08,123.45,121.51,122.12,935179.0
2016-09-14,121.97,122.91,121.1,121.52,757598.0
2016-09-15,121.38,124.74,121.38,124.11,885286.0
2016-09-16,123.51,123.88,122.27,123.27,1145346.0
2016-09-19,123.71,125.7,123.71,124.68,950722.0
2016-09-20,125.55,125.96,124.73,124.78,877183.0
2016-09-21,125.7,127.75,125.43,127.56,964386.0
2016-09-22,127.9,128.4,126.56,126.83,1155060.0
2016-09-23,126.39,126.82,124.98,124.98,927869.0
2016-09-26,124.06,125.92,123.72,124.93,995428.0
2016-09-27,124.64,127.39,124.03,126.86,998540.0
2016-09-28,127.01,127.74,125.69,127.56,1024424.0
2016-09-29,127.54,127.64,124.48,125.02,1059620.0
2016-09-30,126.09,127.26,125.91,126.56,1475968.0
2016-10-03,126.06,126.53,124.52,124.96,1355108.0
2016-10-04,126.22,127.02,123.2,124.2,1274353.0
2016-10-05,123.86,125.24,123.86,124.15,1009901.0
2016-10-06,124.0,125.32,122.79,125.04,833617.0
2016-10-07,125.05,125.05,123.42,123.86,754808.0
2016-10-10,125.0,125.41,124.46,124.65,438147.0
2016-10-11,124.53,124.53,122.0,122.75,631084.0
2016-10-12,122.56,123.78,121.79,123.37,605425.0
2016-10-13,122.31,123.21,121.25,122.67,814039.0
2016-10-14,124.0,124.65,122.79,123.15,958039.0
2016-10-17,123.14,123.58,122.5,122.55,682212.0
2016-10-18,124.0,124.06,122.49,122.89,804094.0
2016-10-19,123.31,123.51,122.35,122.68,858953.0
2016-10-20,122.52,123.19,121.95,122.12,948605.0
2016-10-21,121.15,124.05,120.95,123.99,1568705.0
2016-10-24,125.06,125.67,124.44,124.64,1243018.0
2016-10-25,124.41,125.09,124.16,124.25,927388.0
2016-10-26,123.39,124.13,122.59,123.32,905611.0
2016-10-27,124.1,124.61,122.45,122.86,1134803.0
2016-10-28,123.31,123.75,121.84,122.28,735877.0
2016-10-31,122.8,123.47,121.58,121.85,1854201.0
2016-11-01,122.23,122.53,120.53,120.93,1205408.0
2016-11-02,120.8,120.81,119.46,119.46,1459184.0
2016-11-03,119.45,122.7,119.34,122.5,2375146.0
2016-11-04,122.48,123.61,121.92,122.59,1511388.0
2016-11-07,124.87,126.7,124.55,125.46,1273658.0
2016-11-08,125.53,127.63,124.69,126.42,1216906.0
2016-11-09,125.25,127.5,123.53,125.63,2097397.0
2016-11-10,125.94,127.68,124.17,126.33,1403280.0
2016-11-11,125.72,126.57,124.74,125.46,1526808.0
2016-11-14,126.42,126.71,123.2,123.72,1597501.0
2016-11-15,123.43,123.5,120.86,121.93,2027877.0
2016-11-16,121.48,123.16,121.04,122.36,1091425.0
2016-11-17,122.45,124.12,122.39,123.97,1142394.0
2016-11-18,123.67,123.8,121.63,121.8,1525226.0
2016-11-21,121.98,123.0,121.24,121.73,1488685.0
2016-11-22,121.73,123.35,120.7,120.81,2106607.0
2016-11-23,120.04,121.14,119.48,120.21,2612386.0
2016-11-25,120.43,120.82,119.16,119.92,1398054.0
2016-11-28,119.28,119.63,118.34,118.4,2322623.0
2016-11-29,118.14,119.98,118.13,119.61,1696344.0
2016-11-30,120.11,120.93,118.56,118.99,1956290.0
2016-12-01,119.4,119.67,115.53,116.26,3641199.0
2016-12-02,116.31,117.0,114.8,115.69,2262329.0
2016-12-05,116.29,116.71,114.15,114.28,2535189.0
