ipodate,code,code_name
1999-11-10,sh.600000,浦发银行
1998-02-18,sh.600009,上海机场
2001-03-09,sh.600010,包钢股份
2001-12-06,sh.600011,华能国际
2003-09-12,sh.600015,华夏银行
2000-12-19,sh.600016,民生银行
2006-10-26,sh.600018,上港集团
2000-12-12,sh.600019,宝钢股份
2013-12-19,sh.600023,浙能电力
2017-12-15,sh.600025,华能水电
2002-05-23,sh.600026,中远海能
2005-02-03,sh.600027,华电国际
2001-08-08,sh.600028,中国石化
2003-07-25,sh.600029,南方航空
2003-01-06,sh.600030,中信证券
2003-07-03,sh.600031,三一重工
2002-04-09,sh.600036,招商银行
2003-03-25,sh.600039,四川路桥
2006-07-31,sh.600048,保利发展
2002-10-09,sh.600050,中国联通
1997-05-19,sh.600061,国投资本
1997-05-08,sh.600066,宇通客车
1997-06-25,sh.600085,同仁堂
1997-06-18,sh.600089,特变电工
1997-11-25,sh.600104,上汽集团
1997-09-24,sh.600111,北方稀土
1997-11-05,sh.600115,中国东航
1998-05-20,sh.600150,中国船舶
1998-06-26,sh.600160,巨化股份
1998-06-16,sh.600161,天坛生物
1999-04-22,sh.600176,中国巨石
1998-10-28,sh.600183,生益科技
1998-07-01,sh.600188,兖矿能源
1998-08-07,sh.600196,复星医药
1999-12-23,sh.600219,南山铝业
2000-06-08,sh.600233,圆通速递
2000-10-18,sh.600276,恒瑞医药
2001-01-05,sh.600309,万华化学
2001-02-06,sh.600332,白云山
2001-08-20,sh.600346,恒力石化
2002-01-11,sh.600362,江西铜业
2001-07-06,sh.600372,中航机载
2001-01-16,sh.600377,宁沪高速
2003-10-16,sh.600406,国电南瑞
2002-05-09,sh.600415,小商品城
2002-06-20,sh.600426,华鲁恒升
2003-06-16,sh.600436,片仔癀
2004-03-02,sh.600438,通威股份
2003-03-11,sh.600460,士兰微
2004-07-14,sh.600482,中国动力
2003-08-14,sh.600489,中金黄金
2002-08-06,sh.600515,海南机场
2001-08-27,sh.600519,贵州茅台
2003-08-28,sh.600547,山东黄金
2003-12-16,sh.600570,恒生电子
2003-06-03,sh.600584,长电科技
2002-02-07,sh.600585,海螺水泥
2001-05-18,sh.600588,用友网络
1993-08-27,sh.600600,青岛啤酒
1993-06-10,sh.600660,福耀玻璃
1993-09-24,sh.600674,川投能源
1993-11-19,sh.600690,海尔智家
1996-08-26,sh.600741,华域汽车
1996-08-28,sh.600745,闻泰科技
1996-10-11,sh.600760,中航沈飞
1997-03-18,sh.600795,国电电力
1994-01-03,sh.600803,新奥股份
1994-01-06,sh.600809,山西汾酒
1994-03-11,sh.600845,宝信软件
1995-10-10,sh.600875,东方电气
1996-01-18,sh.600886,国投电力
1996-03-12,sh.600887,伊利股份
1996-04-08,sh.600893,航发动力
2003-11-18,sh.600900,长江电力
2021-06-10,sh.600905,三峡能源
2020-06-03,sh.600918,中泰证券
2016-08-02,sh.600919,江苏银行
2016-10-27,sh.600926,杭州银行
2022-04-21,sh.600938,中国海油
2022-01-05,sh.600941,中国移动
2015-03-23,sh.600958,东方证券
2019-05-16,sh.600989,宝丰能源
2009-11-17,sh.600999,招商证券
2006-08-01,sh.601006,大秦铁路
2007-07-19,sh.601009,南京银行
2012-04-11,sh.601012,隆基绿能
2015-01-21,sh.601021,春秋航空
2023-02-01,sh.601059,信达证券
2018-06-20,sh.601066,中信建投
2007-10-09,sh.601088,中国神华
